Organ,Therapy,Mouse number,Tumor mass (mg),Eotaxin,G-CSF,GM-CSF,IFNg,IL-10,IL-12p40,IL-12p70,IL-13,IL-15,IL-17,IL-1a,IL-1b,IL-2,IL-3,IL-4,IL-5,IL-6,IL-7,IL-9,IP-10,KC,LIF,LIX,M-CSF,MCP-1,MIG,MIP-1a,MIP-1b,MIP-2,RANTES,TNFa,VEGF
Lymph Node,AIP,1,114,5.470278038,0.314034528,0.391171676,0.377115516,0.091239816,0.089247365,0.049410517,0.97276828,0.140736388,0.008580623,0.278445626,0.312339133,0.044338429,0.005532018,0.060593271,7.056598383,0.103372115,0.128271567,0.163004803,0.351221749,0.26437014,0.436425784,0.2717668,0.072079771,1.892550169,6.926588712,0.346358939,0.869091297,0.443143518,1.257683609,0.116383229,0.008060834
Lymph Node,AIP,2,48,5.763772595,0.634200876,0.720818356,1.899511109,0.138947212,0.104692082,0.260109275,3.128512091,0.038663907,0.015883,0.310390798,1.229591459,0.098986242,0.047209341,0.068369726,8.379359778,0.365858237,0.114512485,0.922356553,1.257679082,0.824730086,0.630930958,0.336083226,0.109656868,3.834509674,6.440652055,0.854430687,0.490340582,0.594406894,1.267914118,0.155585399,0.01201106
Lymph Node,AIP,3,25,3.529033935,1.89761382,0.928211264,0.355183543,0.169293325,0.149417283,0.397817455,3.323585339,0.073657985,0.016307367,0.442541328,0.439338067,0.080771628,0.10434841,0.055240403,3.133537054,0.231691358,0.072676639,0.860630701,0.340256033,0.959113126,0.39937956,0.396410213,0.235073587,4.689254831,4.851821722,0.821256528,1.064804394,1.034910598,0.539372543,0.118655216,0.010108715
Lymph Node,AIP,4,35,1.993635209,2.543042949,0.31115207,0.210750539,0.088674693,0.10474196,0.092894862,0.683331899,0.219511711,0.010538104,0.240258463,0.247018053,0.051092564,0.02082768,0.026675508,2.605917696,0.046189333,0.0729914,0.254906961,0.13923573,0.312991609,0.304856665,0.211435397,0.098267904,0.748003612,3.768831274,0.319607303,0.381821777,0.404445209,0.757552429,0.079018848,0.004436682
Lymph Node,AIP,5,35,3.745453548,2.109120608,0.344988339,0.454175199,0.110159616,0.086158755,0.091033956,0.748411436,0.641244149,0.015530646,0.503985933,0.362022377,0.077779727,0.007140829,0.055569465,2.312418394,0.053252968,0.110465183,0.181799806,0.229490871,0.350125237,0.251232844,0.265346532,0.096555589,1.416274433,4.875457951,0.248197507,0.796264612,0.508341323,0.931863744,0.179179952,0.012287669
Lymph Node,AIP,6,171,4.080878725,0.16004337,0.761322541,0.500656304,0.088654072,0.093951061,0.106388256,2.377484469,0.210493984,0.010989542,0.177144506,0.476252961,0.028058683,0.021714413,0.037443815,0.944692981,0.121399441,0.19920108,0.646838243,1.810729965,0.458152107,0.452471979,0.093431579,0.113252211,1.881068837,5.904072592,0.468769869,0.656516565,0.252724699,1.631513564,0.16398257,0.006562128
Lymph Node,AIP,7,53,2.485178944,1.715965948,0.714449712,0.169347841,0.109626025,0.084961597,0.41244749,2.068996068,0.025453972,0.017344527,0.235365967,0.311172827,0.05237785,0.095061282,0.026515668,1.531523501,0.08414778,0.079125172,0.65834064,0.187495421,0.737626763,0.193018824,0.156650817,0.075480308,1.337687489,4.213758731,0.549758136,0.696034338,0.297714965,1.572156101,0.112913447,0.008060407
Lymph Node,AIP,8,76,3.443493533,0.849889124,1.500808469,0.376875818,0.189048951,0.178290118,0.826337138,5.378959467,0.048946334,0.041363099,0.564169069,0.556733394,0.148220158,0.151390726,0.04821883,0.692712894,0.211245405,0.113860286,1.669707015,1.455785105,1.680936361,0.372236771,0.690841266,0.260758378,1.787756113,7.190238095,1.440675835,1.362828703,1.577554136,1.228078906,0.232549426,0.023843844
Lymph Node,AIP,9,236,3.196103165,0.302873858,0.842728709,1.056359614,0.133314623,0.175700011,0.190204501,2.499146926,0.118147841,0.013744834,0.21337316,0.571299428,0.055990712,0.035383875,0.050450676,1.207891122,0.137030988,0.090262382,0.536953638,1.51896158,0.408575,0.399605806,0.194281205,0.064212088,1.731704515,6.234818125,0.496886033,0.547494536,0.866015747,1.247813814,0.203488931,0.00556726
Lymph Node,AIV,1,42,3.507126761,0.791433562,0.450338901,26.82331583,0.112502575,0.117026566,0.055801062,0.783051748,0.103546033,0.006395329,0.383565434,0.449194534,0.017963368,0.021202124,0.039596196,1.494371111,0.737573769,0.007940124,0.144617038,3.082076848,0.305440388,0.582977057,0.144109451,0.077544404,6.769560333,5.461594634,1.416033289,2.26227014,1.076379612,1.308194935,0.156503287,0.001741929
